userid,dbid,toplevel,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,shared_blk_read_time,shared_blk_write_time,local_blk_read_time,local_blk_write_time,temp_blk_read_time,temp_blk_write_time,wal_records,wal_fpi,wal_bytes,jit_functions,jit_generation_time,jit_inlining_count,jit_inlining_time,jit_optimization_count,jit_optimization_time,jit_emission_count,jit_emission_time,jit_deform_count,jit_deform_time,stats_since,minmax_stats_since
41762515,41758328,t,,<insufficient privilege>,0,0,0,0,0,0,35649,1083.6409099999971,0.010605999999999999,12.783173,0.03039751213217754,0.1449001409033695,35649,178245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 10:33:33.392484+00,2026-02-13 10:33:33.392484+00
44867332,44867043,t,,<insufficient privilege>,0,0,0,0,0,0,12,0.35190600000000005,0.017362000000000002,0.048201999999999995,0.029325500000000004,0.010691714342580113,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 06:07:29.901884+00,2026-03-16 06:07:29.901884+00
75213731,75213697,t,,<insufficient privilege>,0,0,0,0,0,0,46202,2313.1974570000093,0.013216,26.472926,0.05006704162157503,0.25809549463618436,46202,139271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-06 07:40:02.140292+00,2026-03-06 07:40:02.140292+00
22273996,22273794,t,,<insufficient privilege>,0,0,0,0,0,0,171,4985.403829999998,0.005818,469.730555,29.15440836257309,81.10097011219395,171,149884,32483,0,0,0,0,0,0,0,0,5059.456544999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-15 06:49:28.79694+00,2026-03-15 06:49:28.79694+00
63187327,63187292,t,,<insufficient privilege>,0,0,0,0,0,0,106,15.295321000000001,0.07292399999999999,5.388197,0.1442954811320755,0.5122917897212086,1060,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-15 08:35:59.164431+00,2026-03-15 08:35:59.164431+00
20563,5,t,,<insufficient privilege>,0,0,0,0,0,0,44453,152353.31348300213,0.604169,892.525944,3.427289800081032,11.711366681151556,44453,741753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 10:32:57.362091+00,2026-02-13 10:32:57.362091+00
45802638,45800982,t,,<insufficient privilege>,0,0,0,0,0,0,16,0.45294300000000004,0.011318,0.042867,0.028308937500000003,0.00816675727774456,117,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 07:15:38.88237+00,2026-03-16 07:15:38.88237+00
69126503,69126482,t,,<insufficient privilege>,0,0,0,0,0,0,16880775,82158249.83455166,2.946321,557.693842,4.866971441450506,3.81440932247785,16892003,9726472510,2418,0,0,0,0,0,0,0,0,487.05469299999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-28 04:31:07.765343+00,2026-02-28 04:31:07.765343+00
71512638,71510822,t,,<insufficient privilege>,0,0,0,0,0,0,73,17.264989000000003,0.017044,3.973685,0.23650669863013704,0.58410005595316,420,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-15 14:31:20.841226+00,2026-03-15 14:31:20.841226+00
69068743,69068718,t,,<insufficient privilege>,0,0,0,0,0,0,11,0.11248399999999999,0.004757,0.013733,0.010225818181818181,0.0025046054241294204,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 07:53:20.291618+00,2026-03-16 07:53:20.291618+00
69131053,69131028,t,,<insufficient privilege>,0,0,0,0,0,0,25185,97776.95037900007,2.176377,200.184165,3.8823486352590857,5.3436770104637015,25185,15530955,50833,0,9,0,0,0,0,0,0,9348.599205000002,0.12321899999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-28 06:40:18.44487+00,2026-02-28 06:40:18.44487+00
68696283,68696265,t,,<insufficient privilege>,0,0,0,0,0,0,1273568,2127.5796500005613,0.000356,16.81401,0.001670566196701363,0.030907051238936643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-26 08:59:02.442137+00,2026-02-26 08:59:02.442137+00
13959677,13959655,t,,<insufficient privilege>,0,0,0,0,0,0,336,111.821854,0.020004,10.224695,0.33280313690476193,0.816101787748755,336,9803,17,0,0,0,0,0,0,0,0,36.823972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-15 00:49:40.548233+00,2026-03-15 00:49:40.548233+00
48762946,48759014,t,,<insufficient privilege>,0,0,0,0,0,0,210,9.80689400000001,0.022186,0.484346,0.04669949523809529,0.03251589363537653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-15 10:26:57.570984+00,2026-03-15 10:26:57.570984+00
41257543,41254257,t,,<insufficient privilege>,0,0,0,0,0,0,1880,92.47200899999977,0.003046,13.793424,0.049187238829787115,0.355404374333559,2696,37576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 02:09:20.452559+00,2026-03-16 02:09:20.452559+00
45251624,45249764,t,,<insufficient privilege>,0,0,0,0,0,0,1,0.098768,0.098768,0.098768,0.098768,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 08:28:12.448618+00,2026-03-16 08:28:12.448618+00
41256041,41251661,t,,<insufficient privilege>,0,0,0,0,0,0,5670526,6560.494531997412,0.000152,19.984051,0.001156946380635132,0.027773720251099032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 10:32:20.574532+00,2026-02-13 10:32:20.574532+00
69124060,69124029,t,,<insufficient privilege>,0,0,0,0,0,0,110,8.966818,0.021529,1.195299,0.08151652727272728,0.21665740365562103,110,235,2,0,0,0,0,0,0,0,0,2.196397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-15 14:03:14.238915+00,2026-03-15 14:03:14.238915+00
64987190,64986039,t,,<insufficient privilege>,0,0,0,0,0,0,4338,8974.62242099998,0.155294,288.315625,2.0688387323651405,8.052166131593946,85869,618167,3807,0,0,0,0,0,0,0,0,5996.480329000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-22 12:00:26.201764+00,2026-02-22 12:00:26.201764+00
