Condition,Metric,n (paired),Pre Mean,Pre SD,Post Mean,Post SD,Mean Delta (Post-Pre),Paired t,df,Paired t p,Paired t Significant (p<0.05),Wilcoxon,Wilcoxon p,Wilcoxon Significant (p<0.05),Cohen d (paired),Abs Mean Delta
Interactive,Overall Trust,252,4.880952380952381,11.683479767935717,1.1984126984126984,9.072984144984323,-3.6825396825396823,7.122471180445629,251,1.1161863823981632e-11,True,7039.5,3.600725598192416e-11,True,-0.4486735110400902,3.6825396825396823
Interactive,Emotional Trust,252,2.738095238095238,4.214712556642111,0.47619047619047616,0.8810920941169034,-2.261904761904762,8.868325068966998,251,1.417072264750813e-16,True,3875.0,5.981074100614122e-15,True,-0.5586519685277717,2.261904761904762
Interactive,Analytical Trust,252,2.142857142857143,8.955146563375855,0.7222222222222222,8.83053276910726,-1.4206349206349207,3.513416867685276,251,0.0005245585462133565,True,9229.5,0.002661663165617383,True,-0.22132445914273252,1.4206349206349207
Text,Overall Trust,252,4.575396825396825,12.945421356790611,0.9246031746031746,10.04086619101194,-3.6507936507936507,7.589690227521037,251,6.283854089527018e-13,True,7000.0,1.0532522229702095e-11,True,-0.4781055445247117,3.6507936507936507
Text,Emotional Trust,252,2.738095238095238,4.410560617767896,0.3253968253968254,0.947459299796439,-2.4126984126984126,9.209611425466612,251,1.3449789394631225e-17,True,4140.0,4.522963650196034e-16,True,-0.5801509881743744,2.4126984126984126
Text,Analytical Trust,252,1.8373015873015872,9.914038773431995,0.5992063492063492,9.645617017820141,-1.2380952380952381,3.343787763750556,251,0.0009526759600786284,True,8615.5,0.006930709635907645,True,-0.21063882999678016,1.2380952380952381
