Condition,n,mean_delta,sem,t_vs_zero,p_vs_zero,impact_type,age_group,p_condition_effect_within_split
Interactive,41,-0.08130081300813008,0.03742389451697353,-2.1724305836544153,0.03580698225676442,Emotional,Below 38,0.7204665638592307
Static,61,-0.06375227686703097,0.031217942217609103,-2.0421678156310454,0.04553739088748938,Emotional,Below 38,0.7204665638592307
Interactive,10,0.1,0.04520946524345816,2.2119261854014094,0.054274413497388395,Emotional,38 and Above,0.3384776613324539
Static,10,-0.04444444444444443,0.1397626834378756,-0.31799936400190787,0.7577400727729552,Emotional,38 and Above,0.3384776613324539
Interactive,41,-0.2024390243902439,0.10420943995896713,-1.9426169497691865,0.059125353834134586,Analytical,Below 38,0.4276211681453688
Static,61,-0.08852459016393445,0.09400320773086714,-0.941718823227628,0.35011291685457013,Analytical,Below 38,0.4276211681453688
Interactive,10,0.029999999999999992,0.14685593847940456,0.20428183096053185,0.8426780593388115,Analytical,38 and Above,0.49125410463968333
Static,10,-0.14999999999999997,0.2098941532190822,-0.7146459189048194,0.49294661436454107,Analytical,38 and Above,0.49125410463968333
