Condition,n,mean_delta,sem,t_vs_zero,p_vs_zero,impact_type,education_group,p_condition_effect_within_split
Interactive,45,-0.03209876543209877,0.03131212562094573,-1.0251225298683277,0.3109084296372864,Emotional,Bachelor degree,0.8502174969975683
Static,64,-0.03993055555555555,0.0268093062298188,-1.489428902533202,0.14136388826712504,Emotional,Bachelor degree,0.8502174969975683
Interactive,47,-0.03546099290780142,0.02553800515904889,-1.388557668735395,0.17165477977481894,Emotional,Other education,0.6308158708107314
Static,66,-0.016835016835016835,0.02706199501334696,-0.6220907522417994,0.5360583097986311,Emotional,Other education,0.6308158708107314
Interactive,45,-0.11333333333333334,0.08199531891048611,-1.3821927256244808,0.17388930351999182,Analytical,Bachelor degree,0.7451821174746863
Static,64,-0.08125,0.05913039632744964,-1.3740817759796065,0.1742853693453878,Analytical,Bachelor degree,0.7451821174746863
Interactive,47,-0.09574468085106383,0.08194882582278255,-1.1683471958233462,0.2486863911650568,Analytical,Other education,0.5724980960588953
Static,66,-0.03181818181818182,0.07532862242348214,-0.4223916592992568,0.6741331396389871,Analytical,Other education,0.5724980960588953
