Condition,n,mean_delta,sem,t_vs_zero,p_vs_zero,impact_type,contrast_group
Interactive,20,-0.1,0.05279701096152825,-1.8940466170114685,0.07354576188825122,Emotional,WEIRD+Young+Knowledgeable
Static,53,-0.04821802935010483,0.020412838932471398,-2.3621422531974603,0.021948010240162623,Emotional,WEIRD+Young+Knowledgeable
Interactive,72,-0.015432098765432103,0.020652426222587034,-0.747229337565889,0.4573927019981139,Emotional,Non-WEIRD+Old+Unknowledgeable
Static,77,-0.014430014430014425,0.028856231237950437,-0.5000658024612968,0.6184736221204714,Emotional,Non-WEIRD+Old+Unknowledgeable
Interactive,20,-0.24499999999999997,0.11775867383406582,-2.080526147443121,0.05124991109343311,Analytical,WEIRD+Young+Knowledgeable
Static,53,-0.06226415094339624,0.08464158255288098,-0.7356212994304056,0.46526644678197926,Analytical,WEIRD+Young+Knowledgeable
Interactive,72,-0.06527777777777777,0.06569597669984849,-0.9936343297858043,0.3237752989826265,Analytical,Non-WEIRD+Old+Unknowledgeable
Static,77,-0.05194805194805195,0.056637688120970094,-0.917199371505035,0.36193965955608126,Analytical,Non-WEIRD+Old+Unknowledgeable
