Condition,n,mean_delta,sem,t_vs_zero,p_vs_zero,impact_type,contrast_group
Interactive,14,-0.0873015873015873,0.06908374842445811,-1.2637065777785652,0.2285269531778296,Emotional,WEIRD+Young+Knowledgeable
Static,38,-0.07602339181286549,0.024829383965288443,-3.061831575005906,0.004084182197283452,Emotional,WEIRD+Young+Knowledgeable
Interactive,78,-0.024216524216524215,0.020138296237555572,-1.2025110729756385,0.232850399754476,Emotional,Non-WEIRD+Old+Unknowledgeable
Static,92,-0.008454106280193241,0.024602668298294137,-0.3436255847411242,0.7319205524803046,Emotional,Non-WEIRD+Old+Unknowledgeable
Interactive,14,-0.17142857142857146,0.12598123505330983,-1.3607468711989552,0.19671883402782925,Analytical,WEIRD+Young+Knowledgeable
Static,38,-0.007894736842105265,0.1005943630332909,-0.07848090692211618,0.9378684262103058,Analytical,WEIRD+Young+Knowledgeable
Interactive,78,-0.09230769230769233,0.06435647349115098,-1.434318683114056,0.15553024289983566,Analytical,Non-WEIRD+Old+Unknowledgeable
Static,92,-0.07608695652173914,0.05372795084853585,-1.4161522135142552,0.16014481435179864,Analytical,Non-WEIRD+Old+Unknowledgeable
