Condition,n,mean_delta,sem,t_vs_zero,p_vs_zero,impact_type,age_group,p_condition_effect_within_split
Interactive,69,-0.05636070853462157,0.02456007728359781,-2.294809901606518,0.024836294984426167,Emotional,Below 38,0.3790644518215083
Static,104,-0.028846153846153848,0.019501717063154143,-1.47915969413046,0.1421495686654773,Emotional,Below 38,0.3790644518215083
Interactive,19,0.05263157894736842,0.028649002839569327,1.8371173070873836,0.08276084085658228,Emotional,38 and Above,0.33859134083707926
Static,22,-0.020202020202020193,0.06523898733308695,-0.3096617686426661,0.7598699971556574,Emotional,38 and Above,0.33859134083707926
Interactive,69,-0.10869565217391304,0.06442542727528203,-1.687154540853407,0.09615619075519417,Analytical,Below 38,0.5490956240301239
Static,104,-0.056730769230769224,0.05606868625677215,-1.011808426738679,0.3140006423476859,Analytical,Below 38,0.5490956240301239
Interactive,19,0.015789473684210523,0.08066360654436945,0.19574470273066003,0.8470027735905906,Analytical,38 and Above,0.49641135698541194
Static,22,-0.07272727272727274,0.09740836923735714,-0.746622423685757,0.4635690644047321,Analytical,38 and Above,0.49641135698541194
