Condition,n,mean_delta,sem,t_vs_zero,p_vs_zero,impact_type,weird_group
Interactive,35,-0.0761904761904762,0.03340217869355006,-2.2810031911238338,0.028934413396309467,Emotional,WEIRD
Static,89,-0.018726591760299623,0.02183552687653253,-0.8576203297583719,0.39343185650364243,Emotional,WEIRD
Interactive,57,-0.007797270955165694,0.02454128325928688,-0.3177205883158152,0.7518786096168076,Emotional,Non-WEIRD
Static,41,-0.04878048780487805,0.03742880031689196,-1.303287505660794,0.19992884780590373,Emotional,Non-WEIRD
Interactive,35,-0.14285714285714285,0.08602185712922958,-1.6607074948699414,0.10596817867274436,Analytical,WEIRD
Static,89,-0.051685393258426963,0.058847293756884834,-0.8782968588488411,0.3821744320445758,Analytical,WEIRD
Interactive,57,-0.08070175438596489,0.07704759605734442,-1.047427285413302,0.29940240331574736,Analytical,Non-WEIRD
Static,41,-0.06585365853658538,0.08334542843020341,-0.790129222165241,0.434111708038527,Analytical,Non-WEIRD
