Condition,n,mean_delta,sem,t_vs_zero,p_vs_zero,impact_type,knowledge_group
Interactive,68,-0.06535947712418301,0.04703659822663134,-1.389545153951579,0.1692675070195663,Emotional,Low Knowledge
Static,96,-0.05092592592592592,0.04445408845984372,-1.1455847525009617,0.25484466265211986,Emotional,Low Knowledge
Interactive,24,-0.07407407407407407,0.07761273801794455,-0.9544061447355162,0.34980219445410854,Emotional,High Knowledge
Static,34,-0.07189542483660132,0.07430381578158496,-0.9675872508073734,0.3402888323554324,Emotional,High Knowledge
Interactive,68,-0.04705882352941178,0.06445798150295279,-0.7300697668799331,0.4678925724256379,Analytical,Low Knowledge
Static,96,-0.057291666666666685,0.056772568579628806,-1.0091434666428698,0.3154692601552465,Analytical,Low Knowledge
Interactive,24,-0.26666666666666666,0.1207864726725486,-2.207752745537974,0.0375068959148742,Analytical,High Knowledge
Static,34,-0.052941176470588235,0.0901805768280216,-0.5870574167156796,0.5611604345907162,Analytical,High Knowledge
