group,n,mean,sem,p_group_difference,measure
WEIRD+Young+Knowledgeable,73,0.10197869101978692,0.05456384539626927,0.0015079416272604776,Emotional Baseline
Non-WEIRD,149,0.32289336316181955,0.04000521575242851,0.0015079416272604776,Emotional Baseline
WEIRD+Young+Knowledgeable,73,-0.23424657534246576,0.08943887265027453,0.0031471584618852203,Analytical Baseline
Non-WEIRD,149,0.10469798657718121,0.0662702253126342,0.0031471584618852203,Analytical Baseline
