,count,mean,std,min,25%,50%,75%,max
Overall Trust Impact Delta,122.0,-0.0883879781420765,0.42074799666239554,-1.5444444444444445,-0.3388888888888889,-0.1527777777777778,0.20833333333333334,0.9888888888888889
Emotional Impact Delta,122.0,-0.0546448087431694,0.2584145193239688,-1.0,-0.2222222222222222,0.0,0.1111111111111111,0.7777777777777778
Analytical Trust Impact Delta,122.0,-0.12213114754098361,0.6841188209445587,-2.2,-0.5,-0.2,0.4,1.9
