Condition,n WEIRD-like,n Non-WEIRD-like,WEIRD Mean,WEIRD SD,Non-WEIRD Mean,Non-WEIRD SD,Mean Difference (WEIRD - Non-WEIRD),Welch t,Welch df,Welch p,Welch Significant (p<0.05),Mann-Whitney U,Mann-Whitney p,Mann-Whitney Significant (p<0.05),Cohen d
Interactive,60,192,-2.7333333333333334,8.245937195127592,-3.9791666666666665,8.19459554588013,1.2458333333333331,1.0230306836555976,98.14907796958603,0.3088082543176661,False,6148.0,0.4311298719351522,False,0.1518060961550731
Text,60,192,-1.9666666666666666,6.684073320827061,-4.177083333333333,7.852027839146808,2.2104166666666663,2.141166749507948,114.2944005820664,0.034384611519993814,True,6633.0,0.07627683120483014,False,0.2911275747676838
