Hypothesis,Analysis,X,M,Y,n,a,a_p,b,b_p,c_total,c_total_p,c_prime,c_prime_p,indirect_ab,indirect_ci_low,indirect_ci_high,indirect_p_boot,supports_mediation
H1,"Time -> Analytical via Emotional (all, condition-adjusted)",time,emotional,analytical,1008,-2.3373015873015963,0.0,1.2703174632207161,0.0,-1.3293650793650817,0.02411444034259036,1.6397499437976335,0.004084449012161651,-2.969115023162717,-3.600116264427327,-2.366088779557342,0.0,True
H2,Time -> Analytical via Emotional (Interactive only),time,emotional,analytical,504,-2.261904761904766,6.661338147750939e-16,1.1356357124584249,0.0,-1.4206349206349218,0.0735507806745519,1.1480649051639007,0.14148663126466765,-2.5686998257988227,-3.4599350929141273,-1.7862093811907913,0.0,True
H2,Time -> Analytical via Emotional (Text only),time,emotional,analytical,504,-2.4126984126984174,2.220446049250313e-16,1.3937123608633781,0.0,-1.2380952380952395,0.15596315219761148,2.124512362717999,0.010845972776168056,-3.362607600813236,-4.286793056846082,-2.466969353111647,0.0,True
H3,"Condition -> Emotional change (z) via Analytical change (z), WEIRD-like",condition_bin,analytical_change_z,emotional_change_z,120,-0.09225039111027611,0.5755684942756738,0.145909215540896,0.19058101135939087,-0.04881963321039957,0.8060929592351722,-0.03535945101015833,0.8586352639848487,-0.013460182200241233,-0.07561261124852608,0.048451307430041377,0.69,False
H4,"Condition -> Emotional change (z) via Analytical change (z), Non-WEIRD-like",condition_bin,analytical_change_z,emotional_change_z,384,-0.010174675490104252,0.9232051657681843,0.16806316002172178,0.00031028623274820255,0.06356723074270813,0.5113438942943778,0.06527721885777088,0.49327202055437724,-0.0017099881150624814,-0.04028531495778982,0.031854925298958475,0.91,False
H5a,WEIRD-like -> Emotional change via Analytical change (Text only),weird_like,analytical_change,emotional_change,252,0.006250000000000225,0.9942809277602795,0.09347730720239357,0.03171121527975718,2.2041666666666675,0.00029481613085402536,2.203582433496652,0.00026799177879266445,0.0005842331700149808,-0.1465317108265652,0.1562543282977347,0.96,False
H5a,WEIRD-like -> Emotional change via Analytical change (Interactive only),weird_like,analytical_change,emotional_change,252,-0.49791666666667034,0.6009358666653726,0.12254786688872588,0.0016607967305080074,1.7437499999999986,0.0034095239017781775,1.8047686253883435,0.0020651071903277085,-0.06101862538834521,-0.28497842641934445,0.21073613348859627,0.6053333333333333,False
