eth_group_collapsed,Condition,count,mean_norm,std_norm,mean_raw,std_raw
Non-white,Interactive,40,1.0000000000000004,4.5194803478105205,0.5,1.3204505835470493
Non-white,Text,83,-0.9999999999999998,4.962953360687823,-0.08433734939759036,1.4500195059840928
White,Interactive,34,-0.40933899332929036,3.985056911224505,0.08823529411764706,1.1643087963517378
White,Text,37,-0.24881582613541356,4.356522458175992,0.13513513513513514,1.272839392900817
